"last_name, first_name","player_id","year","p_era","whiff_percent","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z"
"Musgrove, Joe","605397","2022","2.93",25.5,"92.9","2559","-4.2","-18.3","82.9","2714","12.7","-41.9","81.3","2723","9.6","-55.5",,,,
"Nola, Aaron","605400","2022","3.25",27.9,"92.8","2308","-13.1","-16.6",,,,,"78.6","2589","14.4","-55.7",,,,
"Snell, Blake","605483","2022","3.38",32.8,"95.8","2434","5.2","-11.2","88.9","2389","-4.1","-29.9","81.4","2297","-12.2","-51",,,,
"Springs, Jeffrey","605488","2022","2.46",29.5,"91.4","2254","11.4","-15.3","85.4","2188","-4.5","-32.4",,,,,,,,
"Thompson, Zach","605507","2022","5.18",24,"92.3","2386","-2","-18.1",,,,,"76.6","2244","5","-56.5",,,,
"Woodruff, Brandon","605540","2022","3.05",31.1,"96.3","2350","-6","-12.1","88","2408","3.8","-32","84","2497","2.5","-46",,,,
"Rodón, Carlos","607074","2022","2.88",31.2,"95.5","2349","6","-12","85.4","2447","-8.1","-38.6","79.8","2454","-6.4","-55.5",,,,
"Fedde, Erick","607200","2022","5.81",18.3,,,,,,,,,"78.4","2388","14.7","-46.9",,,,
"Freeland, Kyle","607536","2022","4.53",20.8,"90.2","2390","5.7","-20.2","85.4","2375","-1.4","-32.7","80.9","2446","-4.3","-48.5",,,,
"Fried, Max","608331","2022","2.48",25.9,"94","2139","1.7","-18.5","87.3","2392","-3.8","-34.9","74.2","2748","-9.5","-66.8","80","2646","-14","-47.8"
"Giolito, Lucas","608337","2022","4.90",28.5,"92.6","2172","-5.4","-13.9","84.4","1959","3.5","-37.2","79.2","2348","7.2","-56.3",,,,
"Irvin, Cole","608344","2022","3.98",20.5,"90.7","1976","9.9","-17.2",,,,,"77.5","2074","-8.2","-49.6",,,,
"Wacha, Michael","608379","2022","3.32",20.7,"93","2122","-6.7","-12.4",,,,,"74.7","2173","10.3","-58.8",,,,
"Márquez, Germán","608566","2022","4.95",23,"95.6","2138","-9","-16.6","87.7","2390","0.3","-31.1","86.5","2577","1.1","-38.3",,,,
"Quantrill, Cal","615698","2022","3.38",18.5,"93.5","2167","-6.6","-13.8",,,,,"82.7","2447","3.7","-42.9",,,,
